frame,time_seconds,tracker_id,class_name,confidence,x1,y1,x2,y2
46,1.84,3,car,0.7293,441.71,498.49,545.08,599.41
46,1.84,4,truck,0.7729,170.87,369.8,346.68,605.07
46,1.84,5,car,0.7995,1096.15,504.53,1220.52,600.31
47,1.88,0,car,0.7363,799.54,315.91,853.39,358.17
47,1.88,1,car,0.8285,376.15,589.61,518.32,715.2
47,1.88,4,truck,0.7624,167.02,375.07,345.89,612.54
47,1.88,5,car,0.7862,1087.12,498.84,1206.49,593.3
47,1.88,3,car,0.5922,441.32,505.31,542.9,611.07
48,1.92,0,car,0.7577,798.96,315.33,849.26,357.71
48,1.92,1,car,0.812,372.64,602.19,516.46,719.55
48,1.92,4,truck,0.8202,166.99,377.51,342.88,616.79
48,1.92,5,car,0.8111,1072.77,494.72,1194.93,584.52
48,1.92,3,car,0.5675,438.17,513.82,544.82,617.61
49,1.96,0,car,0.6472,795.75,312.96,847.83,355.54
49,1.96,1,car,0.8164,363.53,616.97,513.91,719.08
49,1.96,3,car,0.6203,436.23,520.74,542.86,631.64
49,1.96,4,truck,0.778,160.3,380.02,340.1,622.61
49,1.96,5,car,0.8088,1066.89,488.03,1183.91,576.89
50,2.0,0,car,0.7808,793.99,312.79,845.82,354.04
50,2.0,1,car,0.7974,356.73,630.57,512.1,719.18
50,2.0,3,car,0.6352,437.3,529.45,543.05,643.24
50,2.0,5,car,0.8035,1057.02,480.06,1170.21,569.56
50,2.0,2,truck,0.5289,155.5,381.7,332.64,631.87
50,2.0,4,bus,0.4624,155.93,382.21,334.12,631.43
51,2.04,0,car,0.6955,792.27,312.32,841.98,352.42
51,2.04,2,truck,0.7017,152.9,384.91,330.92,638.69
51,2.04,1,car,0.8214,356.07,644.99,507.58,718.4
51,2.04,5,car,0.7884,1048.35,477.47,1160.76,562.65
51,2.04,3,car,0.5352,429.8,538.06,544.84,650.34
52,2.08,0,car,0.6533,792.15,311.15,839.53,350.61
52,2.08,2,truck,0.7753,147.32,387.66,328.76,646.55
52,2.08,1,car,0.8142,340.24,657.14,504.24,716.74
52,2.08,5,car,0.7592,1039.51,470.67,1150.67,555.06
52,2.08,3,car,0.4969,427.9,547.2,541.9,665.97
53,2.12,2,truck,0.8289,137.93,390.24,328.16,650.42
53,2.12,1,car,0.7227,353.65,669.81,496.84,718.27
53,2.12,5,car,0.8041,1032.24,463.97,1139.15,549.26
53,2.12,0,car,0.5824,790.66,309.71,836.83,349.65
53,2.12,3,car,0.6,421.64,557.16,542.38,679.81
54,2.16,0,car,0.6864,786.63,307.78,833.18,347.46
54,2.16,2,truck,0.8227,129.77,392.9,325.0,657.6
54,2.16,3,car,0.6457,419.77,566.92,543.9,691.55
54,2.16,5,car,0.7927,1024.33,463.02,1129.1,542.17
54,2.16,1,car,0.5542,353.62,685.62,481.54,716.99
55,2.2,0,car,0.7325,785.71,307.35,832.02,345.76
55,2.2,2,truck,0.8631,120.16,396.17,322.42,667.82
55,2.2,5,car,0.7731,1015.88,456.25,1119.99,535.64
55,2.2,3,truck,0.3777,417.21,577.45,543.53,707.06
56,2.24,0,car,0.7402,783.11,305.58,829.49,344.33
56,2.24,2,truck,0.7693,109.73,398.46,319.93,674.64
56,2.24,3,car,0.6033,409.51,589.01,542.31,717.18
56,2.24,5,car,0.782,1009.83,451.92,1111.41,532.06
57,2.28,0,car,0.7374,778.44,304.65,827.43,341.83
57,2.28,2,truck,0.8743,103.28,403.0,318.32,684.04
57,2.28,3,car,0.6021,409.08,600.62,542.92,720.0
57,2.28,5,car,0.7813,1004.09,449.4,1102.1,525.85
58,2.32,0,car,0.7333,776.9,304.23,825.58,340.49
58,2.32,2,truck,0.8688,103.06,407.77,315.75,689.91
58,2.32,3,car,0.6976,404.75,613.19,543.42,720.0
58,2.32,5,car,0.6821,994.48,443.32,1095.3,518.74
59,2.36,0,car,0.7068,776.9,302.71,822.88,338.82
59,2.36,2,truck,0.8674,91.88,408.29,312.99,703.3
59,2.36,5,car,0.7486,989.88,440.92,1086.58,514.48
59,2.36,3,car,0.5035,400.27,626.15,544.89,719.97
60,2.4,0,car,0.737,774.83,301.64,819.56,338.01
60,2.4,2,truck,0.8393,90.89,410.38,306.28,711.81
60,2.4,3,car,0.6191,394.11,640.84,543.51,716.1
60,2.4,5,car,0.7558,982.77,434.72,1075.89,508.51
61,2.44,0,car,0.6728,772.61,298.2,816.68,337.24
61,2.44,2,truck,0.8238,87.03,413.59,301.97,715.11
61,2.44,5,car,0.7671,976.83,433.15,1070.2,502.81
61,2.44,3,car,0.4619,405.97,657.19,541.7,719.56
62,2.48,0,car,0.6834,770.63,298.34,815.84,336.01
62,2.48,2,truck,0.8547,81.47,420.47,298.68,715.75
62,2.48,5,car,0.6345,970.54,425.88,1062.78,499.18
63,2.52,2,truck,0.8285,72.69,422.91,292.98,714.94
63,2.52,5,car,0.755,963.17,423.31,1055.09,494.61
63,2.52,0,car,0.4315,767.46,297.25,814.89,334.83
64,2.56,2,truck,0.8274,59.53,430.08,289.19,714.46
64,2.56,5,car,0.7431,958.33,420.08,1047.68,488.67
64,2.56,0,car,0.4078,765.43,295.71,811.1,332.94
65,2.6,2,truck,0.8051,42.52,433.33,285.86,715.42
65,2.6,5,car,0.8144,952.84,417.22,1039.32,485.0
65,2.6,0,car,0.5306,763.6,294.34,808.27,330.94
66,2.64,2,truck,0.7797,41.7,439.19,282.62,715.33
66,2.64,5,car,0.6828,948.13,414.86,1032.81,480.53
66,2.64,0,car,0.5847,762.24,294.34,806.09,329.25
67,2.68,2,truck,0.7012,30.27,443.53,276.87,714.7
67,2.68,5,car,0.717,942.44,410.99,1025.61,476.35
67,2.68,0,car,0.5,760.33,292.12,804.58,328.88
68,2.72,0,car,0.6496,759.3,292.21,802.3,327.67
68,2.72,2,truck,0.7198,24.33,447.25,273.01,715.3
68,2.72,5,car,0.7575,937.37,407.79,1020.21,471.78
69,2.76,0,car,0.8275,758.24,291.75,800.18,327.27
69,2.76,2,truck,0.7348,7.04,452.98,267.31,717.32
69,2.76,5,car,0.8057,929.95,403.46,1013.88,468.35
70,2.8,0,car,0.8674,756.44,291.41,799.44,327.29
70,2.8,2,truck,0.6074,1.7,459.14,264.11,714.33
70,2.8,5,car,0.8065,927.87,401.17,1006.49,463.19
71,2.84,0,car,0.8868,754.72,290.87,798.42,326.18
71,2.84,5,car,0.8185,921.81,397.77,1002.09,460.13
71,2.84,2,truck,0.5494,1.0,463.5,257.13,717.39
72,2.88,0,car,0.7742,753.83,289.97,795.76,324.57
72,2.88,5,car,0.6139,918.29,393.9,994.71,455.12
72,2.88,2,truck,0.3791,0.0,468.96,253.3,715.22
73,2.92,0,car,0.8229,752.34,289.5,794.31,322.06
73,2.92,5,car,0.6222,912.49,392.17,991.08,451.71
74,2.96,0,car,0.8435,751.11,289.06,792.77,320.49
74,2.96,5,car,0.5635,910.97,387.07,984.42,448.64
75,3.0,0,car,0.8201,750.21,288.73,791.41,319.65
75,3.0,5,car,0.7193,904.16,386.24,978.42,443.72
76,3.04,0,car,0.7076,748.4,287.31,789.14,318.65
76,3.04,5,car,0.7253,900.98,385.06,974.31,441.37
77,3.08,0,car,0.7411,746.67,285.73,787.38,318.58
77,3.08,5,car,0.7078,895.15,379.95,970.42,438.28
